Crimes and Clearances by Offense Type,,,,,
Current date: 12/3/2011 6:01:00 PM (Central Standard Time),,,,,
,Measures,Number of Crimes,Estimated Population,"Crime Rate (per 1,000)",
,Offense Type,Drug/Narcotic Violations,Drug/Narcotic Violations,Drug/Narcotic Violations,
Jurisdiction,Incident Date,,,,
Sumner,2001,793,"133,631",5.93,
,2002,792,"136,009",5.82,
,2003,"1,008","137,950",7.31,
,2004,"1,112","140,853",7.89,
,2005,"1,411","143,782",9.81,
,2006,"1,465","148,547",9.86,
,2007,"1,484","152,578",9.73,
,2008,"1,214","155,474",7.81,
,2009,"1,225","158,759",7.72,
,2010,982,"160,645",6.11,
Trousdale,2001,50,"7,288",6.86,
,2002,33,"7,287",4.53,
,2003,44,"7,264",6.06,
,2004,82,"7,301",11.23,
,2005,61,"7,433",8.21,
,2006,29,"7,531",3.85,
,2007,35,"7,709",4.54,
,2008,35,"7,822",4.47,
,2009,21,"7,922",2.65,
,2010,17,"7,870",2.16,
Van Buren,2001,26,"5,470",4.75,
,2002,9,"5,491",1.64,
,2003,14,"5,390",2.6,
,2004,50,"5,377",9.3,
,2005,15,"5,369",2.79,
,2006,28,"5,350",5.23,
,2007,14,"5,428",2.58,
,2008,4,"5,481",0.73,
,2009,8,"5,480",1.46,
,2010,32,"5,548",5.77,
Warren,2001,297,"38,682",7.68,
,2002,258,"38,691",6.67,
,2003,183,"39,072",4.68,
,2004,196,"39,184",5,
,2005,149,"39,372",3.78,
,2006,130,"39,652",3.28,
,2007,188,"39,910",4.71,
,2008,195,"39,842",4.89,
,2009,210,"40,481",5.19,
,2010,283,"39,839",7.1,
White,2001,89,"23,408",3.8,
,2002,97,"23,554",4.12,
,2003,124,"23,608",5.25,
,2004,103,"23,885",4.31,
,2005,66,"24,254",2.72,
,2006,68,"24,592",2.77,
,2007,49,"24,966",1.96,
,2008,61,"25,129",2.43,
,2009,84,"25,444",3.3,
,2010,138,"25,841",5.34,
Williamson,2001,366,"132,234",2.77,
,2002,409,"136,335",3,
,2003,559,"140,826",3.97,
,2004,480,"146,014",3.29,
,2005,447,"152,208",2.94,
,2006,534,"159,540",3.35,
,2007,545,"166,732",3.27,
,2008,493,"171,452",2.88,
,2009,534,"176,838",3.02,
,2010,621,"183,182",3.39,
Wilson,2001,477,"91,051",5.24,
,2002,538,"93,035",5.78,
,2003,510,"94,836",5.38,
,2004,557,"97,013",5.74,
,2005,674,"99,762",6.76,
,2006,850,"103,446",8.22,
,2007,826,"106,535",7.75,
,2008,697,"109,803",6.35,
,2009,680,"112,377",6.05,
,2010,695,"113,993",6.1,
Benton,2001,92,"16,626",5.53,
,2002,91,"16,479",5.52,
,2003,113,"16,381",6.9,
,2004,134,"16,322",8.21,
