Crimes and Clearances by Offense Type,,,,
Current date: 12/3/2011 5:11:38 PM (Central Standard Time),,,,
,Type of Weapon/Force Involved,Handguns,,
,Measures,Number of Crimes,Estimated Population,"Crime Rate (per 1,000)"
Jurisdiction,Incident Date,,,
Macon,2004,9,"21,131",0.43
Macon,2005,12,"21,236",0.57
Macon,2006,6,"21,544",0.28
Macon,2007,12,"21,695",0.55
Macon,2008,14,"21,838",0.64
Macon,2009,21,"22,057",0.95
Macon,2010,14,"22,248",0.63
Marion,2001,63,"27,822",2.26
Marion,2002,62,"27,806",2.23
Marion,2003,50,"27,930",1.79
Marion,2004,23,"27,737",0.83
Marion,2005,33,"27,699",1.19
Marion,2006,30,"27,934",1.07
Marion,2007,31,"28,019",1.11
Marion,2008,24,"28,247",0.85
Marion,2009,55,"28,068",1.96
Marion,2010,36,"28,237",1.27
Marshall,2001,38,"27,132",1.4
Marshall,2002,29,"27,291",1.06
Marshall,2003,28,"27,427",1.02
Marshall,2004,16,"27,776",0.58
Marshall,2005,40,"28,093",1.42
Marshall,2006,34,"28,716",1.18
Marshall,2007,38,"29,382",1.29
Marshall,2008,36,"29,731",1.21
Marshall,2009,14,"30,279",0.46
Marshall,2010,12,"30,617",0.39
Maury,2001,196,"70,161",2.79
Maury,2002,165,"71,265",2.32
Maury,2003,203,"72,754",2.79
Maury,2004,186,"74,235",2.51
Maury,2005,235,"75,639",3.11
Maury,2006,207,"77,860",2.66
Maury,2007,263,"80,420",3.27
Maury,2008,251,"81,938",3.06
Maury,2009,265,"84,302",3.14
Maury,2010,196,"80,956",2.42
Montgomery,2001,175,"135,712",1.29
Montgomery,2002,214,"136,811",1.56
Montgomery,2003,283,"138,915",2.04
Montgomery,2004,312,"141,464",2.21
Montgomery,2005,401,"147,789",2.71
Montgomery,2006,489,"148,333",3.3
Montgomery,2007,509,"154,860",3.29
Montgomery,2008,558,"154,756",3.61
Montgomery,2009,446,"160,978",2.77
Montgomery,2010,422,"172,331",2.45
Moore,2001,3,"5,789",0.52
Moore,2002,5,"5,911",0.85
Moore,2003,1,"5,857",0.17
Moore,2004,5,"5,923",0.84
Moore,2005,2,"5,982",0.33
Moore,2006,,"5,985",
Moore,2007,3,"6,043",0.5
Moore,2008,,"6,195",
Moore,2009,3,"6,096",0.49
Moore,2010,3,"6,362",0.47
Putnam,2001,59,"63,227",0.93
Putnam,2002,46,"64,205",0.72
Putnam,2003,52,"65,036",0.8
Putnam,2004,64,"66,037",0.97
Putnam,2005,46,"67,124",0.69
Putnam,2006,65,"68,834",0.94
Putnam,2007,80,"69,933",1.14
Putnam,2008,52,"71,160",0.73
Putnam,2009,51,"72,431",0.7
Putnam,2010,84,"72,321",1.16
Robertson,2001,114,"55,962",2.04
Robertson,2002,112,"56,954",1.97
Robertson,2003,77,"57,874",1.33
Robertson,2004,105,"58,871",1.78
Robertson,2005,136,"60,019",2.27
Robertson,2006,118,"61,928",1.91
Robertson,2007,142,"63,652",2.23
Robertson,2008,170,"64,898",2.62
Robertson,2009,159,"66,581",2.39
Robertson,2010,125,"66,283",1.89
Rutherford,2001,262,"189,690",1.38
Rutherford,2002,232,"196,074",1.18
Rutherford,2003,251,"202,672",1.24
Rutherford,2004,260,"210,774",1.23
Rutherford,2005,335,"219,976",1.52
Rutherford,2006,404,"231,510",1.75
Rutherford,2007,368,"242,005",1.52
Rutherford,2008,385,"249,270",1.54
Rutherford,2009,417,"257,048",1.62
Rutherford,2010,415,"262,604",1.58
Sequatchie,2001,30,"11,540",2.6
Sequatchie,2002,19,"11,772",1.61
Sequatchie,2003,8,"12,044",0.66
Sequatchie,2004,12,"12,362",0.97
Sequatchie,2005,6,"12,710",0.47
Sequatchie,2006,3,"13,125",0.23
Sequatchie,2007,10,"13,464",0.74
Sequatchie,2008,18,"13,580",1.33
Sequatchie,2009,15,"13,915",1.08
Sequatchie,2010,20,"14,112",1.42
Smith,2001,16,"17,962",0.89
Smith,2002,19,"18,096",1.05
Smith,2003,28,"18,208",1.54
Smith,2004,21,"18,263",1.15
Smith,2005,20,"18,466",1.08
Smith,2006,12,"18,663",0.64
Smith,2007,21,"18,857",1.11
Smith,2008,20,"19,107",1.05
Smith,2009,16,"19,201",0.83
Smith,2010,11,"19,166",0.57
Sumner,2001,173,"133,631",1.29
Sumner,2002,131,"136,009",0.96
Sumner,2003,153,"137,950",1.11
Sumner,2004,145,"140,853",1.03
Sumner,2005,159,"143,782",1.11
Sumner,2006,179,"148,547",1.21
Sumner,2007,169,"152,578",1.11
Sumner,2008,161,"155,474",1.04
Sumner,2009,166,"158,759",1.05
Sumner,2010,161,"160,645",1
Trousdale,2001,11,"7,288",1.51
Trousdale,2002,13,"7,287",1.78
Trousdale,2003,5,"7,264",0.69
Trousdale,2004,6,"7,301",0.82
Trousdale,2005,17,"7,433",2.29
Trousdale,2006,4,"7,531",0.53
Trousdale,2007,16,"7,709",2.08
Trousdale,2008,12,"7,822",1.53
Trousdale,2009,12,"7,922",1.51
Trousdale,2010,9,"7,870",1.14
Van Buren,2001,3,"5,470",0.55
Van Buren,2002,4,"5,491",0.73
Van Buren,2003,4,"5,390",0.74
Van Buren,2004,1,"5,377",0.19
Van Buren,2005,2,"5,369",0.37
Van Buren,2006,6,"5,350",1.12
Van Buren,2007,1,"5,428",0.18
Van Buren,2008,3,"5,481",0.55
Van Buren,2009,1,"5,480",0.18
Van Buren,2010,2,"5,548",0.36
Warren,2001,59,"38,682",1.53
Warren,2002,39,"38,691",1.01
Warren,2003,42,"39,072",1.07
Warren,2004,36,"39,184",0.92
Warren,2005,33,"39,372",0.84
Warren,2006,40,"39,652",1.01
Warren,2007,41,"39,910",1.03
Warren,2008,17,"39,842",0.43
Warren,2009,23,"40,481",0.57
Warren,2010,40,"39,839",1
White,2001,38,"23,408",1.62
White,2002,39,"23,554",1.66
White,2003,20,"23,608",0.85
White,2004,14,"23,885",0.59
White,2005,20,"24,254",0.82
White,2006,20,"24,592",0.81
White,2007,30,"24,966",1.2
White,2008,14,"25,129",0.56
White,2009,19,"25,444",0.75
White,2010,18,"25,841",0.7
Williamson,2001,82,"132,234",0.62
Williamson,2002,63,"136,335",0.46
Williamson,2003,86,"140,826",0.61
Williamson,2004,71,"146,014",0.49
Williamson,2005,92,"152,208",0.6
Williamson,2006,87,"159,540",0.55
Williamson,2007,79,"166,732",0.47
Williamson,2008,77,"171,452",0.45
Williamson,2009,84,"176,838",0.48
Williamson,2010,58,"183,182",0.32
Wilson,2001,123,"91,051",1.35
Wilson,2002,129,"93,035",1.39
Wilson,2003,128,"94,836",1.35
Wilson,2004,98,"97,013",1.01
Wilson,2005,163,"99,762",1.63
Wilson,2006,197,"103,446",1.9
Wilson,2007,167,"106,535",1.57
Wilson,2008,152,"109,803",1.38
Wilson,2009,169,"112,377",1.5
Wilson,2010,204,"113,993",1.79
Benton,2001,13,"16,626",0.78
Benton,2002,16,"16,479",0.97
Benton,2003,21,"16,381",1.28
Benton,2004,14,"16,322",0.86
Benton,2005,17,"16,265",1.05
Benton,2006,15,"16,139",0.93
Benton,2007,11,"16,152",0.68
Benton,2008,10,"16,193",0.62
Benton,2009,6,"16,025",0.37
Benton,2010,19,"16,489",1.15
Carroll,2001,32,"29,512",1.08
Carroll,2002,32,"29,215",1.1
Carroll,2003,52,"29,205",1.78
Carroll,2004,32,"29,099",1.1
Carroll,2005,30,"28,695",1.05
Carroll,2006,21,"28,775",0.73
Carroll,2007,26,"28,783",0.9
Carroll,2008,22,"28,719",0.77
Carroll,2009,16,"28,517",0.56
Carroll,2010,25,"28,522",0.88
Chester,2001,16,"15,845",1.01
Chester,2002,19,"15,857",1.2
Chester,2003,16,"15,549",1.03
Chester,2004,18,"15,793",1.14
Chester,2005,20,"15,879",1.26
Chester,2006,6,"15,978",0.38
Chester,2007,14,"16,078",0.87
Chester,2008,16,"16,309",0.98
Chester,2009,16,"16,312",0.98
Chester,2010,21,"17,131",1.23
Crockett,2001,12,"14,536",0.83
Crockett,2002,28,"14,462",1.94
Crockett,2003,15,"14,318",1.05
Crockett,2004,12,"14,372",0.83
Crockett,2005,22,"14,354",1.53
Crockett,2006,7,"14,333",0.49
Crockett,2007,3,"14,403",0.21
Crockett,2008,16,"14,186",1.13
Crockett,2009,15,"14,492",1.04
Crockett,2010,22,"14,586",1.51
Decatur,2001,3,"11,671",0.26
Decatur,2002,9,"11,604",0.78
Decatur,2003,10,"11,503",0.87
Decatur,2004,13,"11,523",1.13
Decatur,2005,9,"11,428",0.79
Decatur,2006,11,"11,364",0.97
Decatur,2007,10,"11,505",0.87
Decatur,2008,4,"11,288",0.35
Decatur,2009,7,"11,525",0.61
Decatur,2010,12,"11,757",1.02
Dickson,2001,44,"43,866",1
Dickson,2002,48,"44,344",1.08
Dickson,2003,71,"44,849",1.58
Dickson,2004,47,"45,211",1.04
Dickson,2005,72,"45,705",1.58
Dickson,2006,67,"46,439",1.44
Dickson,2007,53,"47,411",1.12
Dickson,2008,58,"47,884",1.21
Dickson,2009,45,"48,230",0.93
Dickson,2010,47,"49,666",0.95
Dyer,2001,38,"37,108",1.02
Dyer,2002,67,"37,068",1.81
Dyer,2003,81,"37,161",2.18
Dyer,2004,69,"37,291",1.85
