"Total Arrestees by Weapon Type"
"Current date: 11/21/2011 3:10:59 PM (Central Standard Time)"
,"Measures","Number of Arrestees","Estimated Population","Arrestee Rate (per 1,000)",
"Jurisdiction","Arrest Date"
,"2009","4,847","86243","56.20"
,"2010","3,982","89889","44.30"
"Sullivan","2001","7,246","152421","47.54"
,"2002","7,348","152605","48.15"
,"2003","7,701","152392","50.53"
,"2004","8,078","151601","53.28"
,"2005","9,057","151974","59.60"
,"2006","9,508","152505","62.35"
,"2007","10,588","153500","68.98"
,"2008","9,677","153900","62.88"
,"2009","9,743","154552","63.04"
,"2010","10,026","156823","63.93"
"Unicoi","2001","557","17559","31.72"
,"2002","700","17612","39.75"
,"2003","736","17687","41.61"
,"2004","591","17633","33.52"
,"2005","653","17558","37.19"
,"2006","868","17693","49.06"
,"2007","943","17702","53.27"
,"2008","836","17718","47.18"
,"2009","906","17740","51.07"
,"2010","725","18313","39.59"
"Union","2001","699","18283","38.23"
,"2002","747","18402","40.59"
,"2003","788","18581","42.41"
,"2004","806","18570","43.40"
,"2005","622","18637","33.37"
,"2006","568","18787","30.23"
,"2007","812","18931","42.89"
,"2008","656","19008","34.51"
,"2009","764","19164","39.87"
,"2010","1,141","19109","59.71"
"Washington","2001","5,342","107651","49.62"
,"2002","6,724","109294","61.52"
,"2003","6,741","110172","61.19"
,"2004","8,346","111133","75.10"
,"2005","9,169","112664","81.38"
,"2006","9,078","114895","79.01"
,"2007","9,260","116717","79.34"
,"2008","9,258","118639","78.04"
,"2009","8,934","120598","74.08"
,"2010","8,560","122979","69.61"
"Bedford","2001","1,434","38538","37.21"
,"2002","1,251","39185","31.93"
,"2003","1,309","40002","32.72"
,"2004","1,382","40981","33.72"
,"2005","1,262","42147","29.94"
,"2006","2,297","43444","52.87"
,"2007","2,249","44531","50.50"
,"2008","2,117","44696","47.36"
,"2009","2,505","45947","54.52"
,"2010","2,392","45058","53.09"
"Bledsoe","2001","405","12476","32.46"
,"2002","300","12457","24.08"
,"2003","281","12523","22.44"
,"2004","310","12634","24.54"
,"2005","364","12702","28.66"
,"2006","252","12867","19.58"
,"2007","266","13056","20.37"
,"2008","201","13142","15.29"
,"2009","181","12967","13.96"
,"2010","206","12876","16.00"
"Cannon","2001","755","12987","58.14"
,"2002","847","12961","65.35"
,"2003","691","13009","53.12"
,"2004","606","13103","46.25"
,"2005","542","13136","41.26"
,"2006","527","13266","39.73"
,"2007","474","13430","35.29"
,"2008","699","13804","50.64"
,"2009","678","13860","48.92"
,"2010","641","13801","46.45"
"Cheatham","2001","945","36551","25.85"
,"2002","1,363","36940","36.90"
,"2003","1,665","37166","44.80"
,"2004","1,621","37580","43.13"
,"2005","1,983","38037","52.13"
,"2006","1,865","38615","48.30"
,"2007","1,980","39148","50.58"
,"2008","1,940","39396","49.24"
,"2009","2,331","39876","58.46"
,"2010","1,930","39105","49.35"
"Clay","2001","283","7938","35.65"
,"2002","437","7945","55.00"
,"2003","396","7927","49.96"
,"2004","297","7966","37.28"
,"2005","353","7973","44.27"
,"2006","321","7997","40.14"
,"2007","417","7923","52.63"
,"2008","452","7794","57.99"
,"2009","489","7895","61.94"
,"2010","450","7861","57.24"
"Coffee","2001","1,900","48554","39.13"
,"2002","2,009","49013","40.99"
,"2003","1,738","49494","35.12"
,"2004","1,639","49930","32.83"
,"2005","1,843","50637","36.40"
,"2006","2,200","51400","42.80"
,"2007","2,561","51739","49.50"
,"2008","2,525","52134","48.43"
,"2009","2,565","52521","48.84"
,"2010","2,323","52796","44.00"
"Davidson","2001","30,385","578527","52.52"
,"2002","36,545","581978","62.79"
,"2003","39,429","588126","67.04"
,"2004","40,892","596961","68.50"
,"2005","33,841","607413","55.71"
,"2006","30,874","614609","50.23"
,"2007","33,876","621384","54.52"
,"2008","39,405","626144","62.93"
,"2009","40,834","635710","64.23"
,"2010","77,316","626681","123.37"
"DeKalb","2001","947","17533","54.01"
,"2002","1,171","17734","66.03"
,"2003","1,231","17952","68.57"
,"2004","1,490","18147","82.11"
,"2005","1,615","18257","88.46"
,"2006","1,661","18423","90.16"
,"2007","1,624","18588","87.37"
,"2008","1,502","18694","80.35"
,"2009","1,529","18954","80.67"
,"2010","1,396","18723","74.56"
"Franklin","2001","2,813","39628","70.99"
,"2002","2,549","39964","63.78"
,"2003","2,539","40143","63.25"
,"2004","2,192","40354","54.32"
,"2005","2,540","40529","62.67"
,"2006","2,078","40888","50.82"
,"2007","1,975","41190","47.95"
,"2008","2,675","41165","64.98"
,"2009","2,356","41310","57.03"
,"2010","2,458","41052","59.88"
"Giles","2001","1,226","29559","41.48"
,"2002","1,556","29365","52.99"
,"2003","1,754","29126","60.22"
,"2004","1,625","29048","55.94"
,"2005","1,721","29054","59.23"
,"2006","1,871","29054","64.40"
,"2007","2,150","29011","74.11"
,"2008","2,047","29184","70.14"
,"2009","1,786","29082","61.41"
,"2010","1,664","29485","56.44"
"Grundy","2001","467","14220","32.84"
,"2002","263","14256","18.45"
,"2003","324","14228","22.77"
,"2004","265","14310","18.52"
,"2005","276","14330","19.26"
,"2006","351","14295","24.55"
,"2007","436","14311","30.47"
,"2008","340","14220","23.91"
,"2009","362","14130","25.62"
,"2010","444","13703","32.40"
"Jackson","2001","304","11116","27.35"
,"2002","268","11092","24.16"
,"2003","682","11079","61.56"
,"2004","749","11069","67.67"
,"2005","881","10979","80.24"
,"2006","897","10841","82.74"
,"2007","622","10850","57.33"
,"2008","921","10847","84.91"
,"2009","697","10875","64.09"
,"2010","700","11638","60.15"
"Lincoln","2001","1,223","31564","38.75"
,"2002","1,447","31616","45.77"
,"2003","1,307","31746","41.17"
,"2004","1,345","31765","42.34"
,"2005","1,631","32121","50.78"
,"2006","1,812","32434","55.87"
,"2007","1,894","32733","57.86"
,"2008","1,854","33116","55.99"
,"2009","1,513","33374","45.33"
,"2010","1,368","33361","41.01"
"Macon","2001","1,432","20811","68.81"
,"2002","1,407","20771","67.74"
,"2003","1,405","20897","67.23"
,"2004","1,620","21131","76.66"
,"2005","1,519","21236","71.53"
,"2006","1,287","21544","59.74"
,"2007","1,480","21695","68.22"
,"2008","1,499","21838","68.64"
,"2009","1,434","22057","65.01"
,"2010","1,492","22248","67.06"
"Marion","2001","1,531","27822","55.03"
,"2002","1,682","27806","60.49"
,"2003","1,859","27930","66.56"
,"2004","1,497","27737","53.97"
,"2005","1,581","27699","57.08"
,"2006","1,603","27934","57.39"
,"2007","1,668","28019","59.53"
,"2008","1,667","28247","59.02"
,"2009","1,813","28068","64.59"
,"2010","1,725","28237","61.09"
"Marshall","2001","1,131","27132","41.69"
,"2002","1,295","27291","47.45"
,"2003","1,220","27427","44.48"
,"2004","1,211","27776","43.60"
,"2005","1,323","28093","47.09"
,"2006","1,330","28716","46.32"
,"2007","1,315","29382","44.76"
,"2008","1,749","29731","58.83"
,"2009","1,603","30279","52.94"
,"2010","1,415","30617","46.22"
"Maury","2001","3,615","70161","51.52"
,"2002","3,543","71265","49.72"
,"2003","3,921","72754","53.89"
,"2004","4,418","74235","59.51"
,"2005","5,874","75639","77.66"
