"Total Arrestees by Weapon Type"
"Current date: 11/21/2011 3:00:46 PM (Central Standard Time)"
,"Measures","Number of Arrestees","Number of Incidents","Estimated Population","Arrestee Rate (per 1,000)",
,"Arrestee Armed With","Firearm","Firearm","Firearm","Firearm",
"Jurisdiction","Arrest Date"
,"2010","33","32","156823","0.21"
"Unicoi","2001","12","12","17559","0.68"
,"2002","8","8","17612","0.45"
,"2003","9","8","17687","0.51"
,"2004","13","11","17633","0.74"
,"2005","10","10","17558","0.57"
,"2006","12","12","17693","0.68"
,"2007","7","7","17702","0.40"
,"2008","11","11","17718","0.62"
,"2009","8","8","17740","0.45"
,"2010","10","10","18313","0.55"
"Union","2001","5","5","18283","0.27"
,"2002","4","4","18402","0.22"
,"2003","","","18581",""
,"2004","3","3","18570","0.16"
,"2005","2","2","18637","0.11"
,"2006","2","2","18787","0.11"
,"2007","1","1","18931","0.05"
,"2008","2","2","19008","0.11"
,"2009","","","19164",""
,"2010","","","19109",""
"Washington","2001","61","55","107651","0.57"
,"2002","54","51","109294","0.49"
,"2003","32","31","110172","0.29"
,"2004","46","43","111133","0.41"
,"2005","63","60","112664","0.56"
,"2006","39","37","114895","0.34"
,"2007","32","31","116717","0.27"
,"2008","29","29","118639","0.24"
,"2009","31","31","120598","0.26"
,"2010","10","10","122979","0.08"
"Bedford","2001","24","24","38538","0.62"
,"2002","15","15","39185","0.38"
,"2003","30","29","40002","0.75"
,"2004","32","30","40981","0.78"
,"2005","20","16","42147","0.47"
,"2006","17","13","43444","0.39"
,"2007","11","11","44531","0.25"
,"2008","13","12","44696","0.29"
,"2009","20","19","45947","0.44"
,"2010","10","10","45058","0.22"
"Bledsoe","2001","10","10","12476","0.80"
,"2002","4","4","12457","0.32"
,"2003","14","14","12523","1.12"
,"2004","10","10","12634","0.79"
,"2005","14","13","12702","1.10"
,"2006","8","8","12867","0.62"
,"2007","11","10","13056","0.84"
,"2008","8","7","13142","0.61"
,"2009","12","12","12967","0.93"
,"2010","7","7","12876","0.54"
"Cannon","2001","7","7","12987","0.54"
,"2002","9","9","12961","0.69"
,"2003","9","9","13009","0.69"
,"2004","8","8","13103","0.61"
,"2005","5","5","13136","0.38"
,"2006","5","5","13266","0.38"
,"2007","4","4","13430","0.30"
,"2008","4","4","13804","0.29"
,"2009","3","3","13860","0.22"
,"2010","4","3","13801","0.29"
"Cheatham","2001","4","4","36551","0.11"
,"2002","8","8","36940","0.22"
,"2003","9","9","37166","0.24"
,"2004","3","3","37580","0.08"
,"2005","6","6","38037","0.16"
,"2006","8","8","38615","0.21"
,"2007","8","8","39148","0.20"
,"2008","12","12","39396","0.30"
,"2009","8","8","39876","0.20"
,"2010","1","1","39105","0.03"
"Clay","2001","3","3","7938","0.38"
,"2002","9","6","7945","1.13"
,"2003","13","10","7927","1.64"
,"2004","2","2","7966","0.25"
,"2005","2","2","7973","0.25"
,"2006","3","3","7997","0.38"
,"2007","5","4","7923","0.63"
,"2008","4","3","7794","0.51"
,"2009","5","2","7895","0.63"
,"2010","","","7861",""
"Coffee","2001","17","16","48554","0.35"
,"2002","10","10","49013","0.20"
,"2003","19","19","49494","0.38"
,"2004","10","10","49930","0.20"
,"2005","7","7","50637","0.14"
,"2006","11","10","51400","0.21"
,"2007","18","14","51739","0.35"
,"2008","38","30","52134","0.73"
,"2009","25","22","52521","0.48"
,"2010","25","23","52796","0.47"
"Davidson","2001","27","25","578527","0.05"
,"2002","23","23","581978","0.04"
,"2003","16","16","588126","0.03"
,"2004","15","14","596961","0.03"
,"2005","18","16","607413","0.03"
,"2006","23","16","614609","0.04"
,"2007","22","19","621384","0.04"
,"2008","28","27","626144","0.04"
,"2009","30","28","635710","0.05"
,"2010","289","260","626681","0.46"
"DeKalb","2001","12","9","17533","0.68"
,"2002","23","19","17734","1.30"
,"2003","9","8","17952","0.50"
,"2004","11","10","18147","0.61"
,"2005","8","8","18257","0.44"
,"2006","5","5","18423","0.27"
