"Personal income","FIPS","AreaName","2001","2002","2003","2004","2005","2006","2007","2008","2009" 
"1","35460","Newport, TN",623241 ,646903 ,659363 ,676302 ,706248 ,740038 ,792613 ,831823 ,850784 
"1","37540","Paris, TN",712941 ,701889 ,727849 ,781667 ,821448 ,837537 ,874430 ,912132 ,924082 
"1","42940","Sevierville, TN",1767482 ,1952253 ,2038782 ,2165338 ,2343120 ,2535060 ,2672538 ,2755231 ,2755417 
"1","43180","Shelbyville, TN",921216 ,929776 ,1002534 ,1072692 ,1137289 ,1199377 ,1273007 ,1318458 ,1298265 
"1","46100","Tullahoma, TN",2182814 ,2255750 ,2391730 ,2510763 ,2617091 ,2719885 ,2886394 ,3041180 ,3013646 
"1","46460","Union City, TN-KY",981117 ,961550 ,998182 ,1036416 ,1087773 ,1066932 ,1132968 ,1205498 ,1234990 
"1","89174","Chattanooga-Cleveland-Athens, TN-GA",17160771 ,17599573 ,18241940 ,19052246 ,19935796 ,21258254 ,22376977 ,22893739 ,22507293 
"1","89297","Jackson-Humboldt, TN",3866630 ,3985386 ,4186798 ,4338321 ,4489955 ,4665643 ,4920607 ,5110611 ,5059244 
"1","89304","Johnson City-Kingsport-Bristol (Tri-Cities), TN-VA",11519740 ,11827636 ,12204655 ,12810804 ,13240240 ,14177249 ,15076796 ,15873862 ,15784842 
"1","89314","Knoxville-Sevierville-La Follette, TN",24855259 ,25729069 ,26698041 ,28012728 ,29354500 ,31350781 ,33098832 ,34342930 ,33950468 
"1","89400","Nashville-Davidson-Murfreesboro-Columbia, TN",44634777 ,46305470 ,48349707 ,51480688 ,54417599 ,59099450 ,62577386 ,65084662 ,63559709 
"1","89542","Union City-Martin, TN-KY",1728575 ,1708669 ,1770931 ,1847942 ,1949631 ,1938551 ,2045455 ,2156861 ,2205245 
"1","57010","Asheville-Brevard, NC",15667412 ,15855639 ,16107111 ,17325604 ,18342021 ,19729142 ,21100176 ,21902667 ,21723802 
"1","57011","Atlanta-Sandy Springs-Gainesville, GA-AL",198300879 ,202046247 ,208131623 ,219592376 ,235483882 ,251974686 ,267202347 ,274904585 ,267395693 
"1","57076","Huntsville-Decatur, AL",24949498 ,25579842 ,26907443 ,28335994 ,29949054 ,31703156 ,33816836 ,35677907 ,35875631 
"1","57081","Johnson City-Kingsport-Bristol (Tri-Cities), TN-VA",19366289 ,19886190 ,20596798 ,21550946 ,22351714 ,23764588 ,25143764 ,26563722 ,26588522 
"1","57088","Knoxville-Sevierville-La Follette, TN",27592695 ,28511527 ,29582776 ,31084579 ,32598398 ,34742386 ,36686834 ,38060449 ,37687910 
"1","57105","Memphis, TN-MS-AR",53384566 ,54474334 ,56803969 ,59593919 ,62126114 ,65343710 ,68571528 ,70801832 ,69657296 
"1","57116","Nashville-Davidson-Murfreesboro-Columbia, TN",68426457 ,70732035 ,74102381 ,78619892 ,83377376 ,89672335 ,94863175 ,99198886 ,97667009 
"1","57171","Tupelo, MS",11559822 ,11722191 ,11992542 ,12595316 ,13289697 ,13852771 ,14527794 ,15144998 ,15056776 
"Source: Regional Economic Information System, Bureau of Economic Analysis, U.S. Department of Commerce"
"=HYPERLINK(""http://www.bea.gov/regional/docs/footnotes.cfm?tablename=CA1-3"",""CA1-3 Footnotes"")","http://www.bea.gov/regional/docs/footnotes.cfm?tablename=CA1-3"
"Regional Economic Information System"
"Bureau of Economic Analysis"
"'April 2011'"
